radius_mean,texture_mean,radius_se,texture_se,radius_worst,texture_worst
9.333,21.94,0.3013,1.879,9.845,25.05
12.88,28.92,0.2116,1.36,13.89,35.74
10.29,27.61,0.2199,2.239,10.84,34.91
10.16,19.59,0.2441,2.09,10.65,22.88
9.423,27.88,0.5375,2.927,10.49,34.24
14.59,22.68,0.2254,1.108,15.48,27.27
11.51,23.93,0.2388,2.904,12.48,37.16
14.05,27.15,0.3645,1.492,15.3,33.17
11.2,29.37,0.3141,3.896,11.92,38.3
15.22,30.62,0.2602,1.205,17.52,42.79
20.92,25.09,0.9622,1.026,24.29,29.41
21.56,22.39,1.176,1.256,25.45,26.4
20.13,28.25,0.7655,2.463,23.69,38.25
16.6,28.08,0.4564,1.075,18.98,34.12
20.6,29.33,0.726,1.595,25.74,39.42
7.76,24.54,0.3857,1.428,9.456,30.37
